	CC_MI_H30	CC_MI_H39	PF_LM_H03	PF_LM_H08	PF_LM_H14	PF_LM_H16	PF_MI_H01	PF_MI_H06	PF_MI_H12	PF_MI_H13	PF_MM_H17	PF_MM_H19	PF_MM_H20	PF_SM_H02	PF_SM_H10	PF_SM_H11	PF_WS_H04	PF_WS_H07	PF_WS_H09	PF_WS_H15	UP_MI_H41	UP_MI_H43	UP_MI_H57	UP_MI_H59
aggregates-combined-assembly1_4574750_1_324_+ 	0.0192307692308 	0.00977198697068 	0.0 	0.0242424242424 	0.0137382501808 	0.0263157894737 	0.00920245398773 	0.00836820083682 	0.00947867298578 	0.0 	0.0222222222222 	0.00826446280992 	0.0 	0.00806451612903 	0.0157480314961 	0.00793650793651 	0.0125570776256 	0.0152671755725 	0.0127551020408 	0.0271739130435 	0.01393728223 	0.0 	0.0149700598802 	0.00349040139616 
aggregates-combined-assembly1_4584140_1_373_- 	0.00480769230769 	0.0130293159609 	0.0 	0.0030303030303 	0.0180766449747 	0.0230263157895 	0.0122699386503 	0.0167364016736 	0.0142180094787 	0.0 	0.0 	0.0165289256198 	0.0110497237569 	0.0161290322581 	0.0 	0.015873015873 	0.0125570776256 	0.0209923664122 	0.015306122449 	0.0326086956522 	0.0209059233449 	0.0 	0.0149700598802 	0.0174520069808 
aggregates-combined-assembly1_4595197_1_248_- 	0.0144230769231 	0.00325732899023 	0.0 	0.0030303030303 	0.00216919739696 	0.00986842105263 	0.00613496932515 	0.00836820083682 	0.0 	0.0 	0.0 	0.0495867768595 	0.0 	0.00403225806452 	0.0 	0.00793650793651 	0.00570776255708 	0.0229007633588 	0.015306122449 	0.0380434782609 	0.00696864111498 	0.0 	0.00898203592814 	0.00698080279232 
aggregates-combined-assembly1_4615429_1_203_- 	0.0 	0.00651465798046 	0.0236686390533 	0.0363636363636 	0.0216919739696 	0.0131578947368 	0.0276073619632 	0.00836820083682 	0.00947867298578 	0.0 	0.0 	0.0165289256198 	0.0552486187845 	0.00806451612903 	0.0157480314961 	0.0238095238095 	0.0194063926941 	0.0114503816794 	0.0127551020408 	0.0434782608696 	0.0209059233449 	0.0149253731343 	0.0 	0.0244328097731 
aggregates-combined-assembly1_4623130_1_357_+ 	0.0 	0.00651465798046 	0.0 	0.0121212121212 	0.00216919739696 	0.0131578947368 	0.0 	0.0 	0.0 	0.0 	0.0222222222222 	0.0 	0.0 	0.0120967741935 	0.0 	0.00793650793651 	0.00684931506849 	0.0248091603053 	0.0127551020408 	0.0271739130435 	0.0 	0.0 	0.00748502994012 	0.0 
aggregates-combined-assembly1_4644555_1_514_- 	0.0432692307692 	0.0162866449511 	0.0118343195266 	0.0212121212121 	0.0159074475777 	0.0197368421053 	0.0276073619632 	0.0209205020921 	0.0142180094787 	0.0470588235294 	0.0 	0.00826446280992 	0.0 	0.0201612903226 	0.0314960629921 	0.0238095238095 	0.0102739726027 	0.0381679389313 	0.0280612244898 	0.0271739130435 	0.01393728223 	0.0 	0.00898203592814 	0.0279232111693 
aggregates-combined-assembly1_4667640_1_512_+ 	0.0144230769231 	0.0 	0.0 	0.0212121212121 	0.0130151843818 	0.0164473684211 	0.0245398773006 	0.0125523012552 	0.0189573459716 	0.0470588235294 	0.0 	0.0165289256198 	0.0220994475138 	0.00403225806452 	0.0314960629921 	0.00793650793651 	0.0228310502283 	0.0114503816794 	0.0127551020408 	0.0326086956522 	0.01393728223 	0.0 	0.00898203592814 	0.0104712041885 
aggregates-combined-assembly1_4667871_1_361_+ 	0.0 	0.00325732899023 	0.0 	0.030303030303 	0.0159074475777 	0.00328947368421 	0.0153374233129 	0.0209205020921 	0.0284360189573 	0.0117647058824 	0.0222222222222 	0.0330578512397 	0.0276243093923 	0.0120967741935 	0.0 	0.0357142857143 	0.0102739726027 	0.0114503816794 	0.0204081632653 	0.0326086956522 	0.01393728223 	0.0298507462687 	0.0 	0.0418848167539 
aggregates-combined-assembly1_4678604_1_367_- 	0.0192307692308 	0.00651465798046 	0.0 	0.00909090909091 	0.00144613159798 	0.0 	0.0153374233129 	0.0125523012552 	0.00473933649289 	0.0235294117647 	0.0 	0.0 	0.0 	0.00806451612903 	0.0314960629921 	0.0 	0.0102739726027 	0.00954198473282 	0.0178571428571 	0.054347826087 	0.0 	0.0 	0.0059880239521 	0.00698080279232 
aggregates-combined-assembly1_4683755_31_561_+ 	0.00961538461538 	0.0228013029316 	0.00591715976331 	0.00909090909091 	0.0122921185828 	0.0197368421053 	0.0184049079755 	0.0125523012552 	0.0189573459716 	0.0705882352941 	0.0 	0.0165289256198 	0.0 	0.00403225806452 	0.00787401574803 	0.0198412698413 	0.00799086757991 	0.00954198473282 	0.0178571428571 	0.0380434782609 	0.0 	0.0 	0.0119760479042 	0.00698080279232 
aggregates-combined-assembly1_4688909_106_549_- 	0.0 	0.00977198697068 	0.0118343195266 	0.0212121212121 	0.00939985538684 	0.00328947368421 	0.021472392638 	0.0 	0.0331753554502 	0.0 	0.0222222222222 	0.0330578512397 	0.0220994475138 	0.00806451612903 	0.0 	0.0238095238095 	0.013698630137 	0.0190839694656 	0.015306122449 	0.0271739130435 	0.0209059233449 	0.0 	0.00299401197605 	0.0174520069808 
aggregates-combined-assembly1_4694107_1_515_+ 	0.0576923076923 	0.0130293159609 	0.0118343195266 	0.0181818181818 	0.0209689081706 	0.0263157894737 	0.00920245398773 	0.0125523012552 	0.0142180094787 	0.0235294117647 	0.0222222222222 	0.0413223140496 	0.0331491712707 	0.0403225806452 	0.0393700787402 	0.0198412698413 	0.0194063926941 	0.0381679389313 	0.0280612244898 	0.0489130434783 	0.0278745644599 	0.0149253731343 	0.0269461077844 	0.0174520069808 
aggregates-combined-assembly1_4699173_83_452_+ 	0.0673076923077 	0.0228013029316 	0.0 	0.00909090909091 	0.0101229211858 	0.0263157894737 	0.00306748466258 	0.00836820083682 	0.0236966824645 	0.0 	0.0 	0.0 	0.0220994475138 	0.0201612903226 	0.0472440944882 	0.031746031746 	0.0182648401826 	0.0171755725191 	0.015306122449 	0.0380434782609 	0.0209059233449 	0.0 	0.0134730538922 	0.0104712041885 
aggregates-combined-assembly1_4706542_1_243_- 	0.0240384615385 	0.0 	0.0177514792899 	0.0151515151515 	0.00939985538684 	0.00657894736842 	0.00306748466258 	0.0125523012552 	0.0189573459716 	0.0823529411765 	0.0222222222222 	0.0 	0.0165745856354 	0.0120967741935 	0.0 	0.0119047619048 	0.0102739726027 	0.0114503816794 	0.015306122449 	0.0271739130435 	0.0348432055749 	0.0149253731343 	0.0059880239521 	0.0174520069808 
aggregates-combined-assembly1_4710874_1_718_- 	0.0192307692308 	0.0195439739414 	0.0 	0.0030303030303 	0.00795372378886 	0.0131578947368 	0.00613496932515 	0.0 	0.0142180094787 	0.0235294117647 	0.0 	0.0 	0.0 	0.0241935483871 	0.0157480314961 	0.00793650793651 	0.0102739726027 	0.0248091603053 	0.015306122449 	0.0380434782609 	0.0 	0.0 	0.0239520958084 	0.0 
aggregates-combined-assembly1_4712040_56_484_- 	0.0240384615385 	0.0195439739414 	0.0 	0.0272727272727 	0.0137382501808 	0.00657894736842 	0.00613496932515 	0.00836820083682 	0.0142180094787 	0.0235294117647 	0.0 	0.0165289256198 	0.0220994475138 	0.00403225806452 	0.0314960629921 	0.0357142857143 	0.0148401826484 	0.0400763358779 	0.0255102040816 	0.0326086956522 	0.01393728223 	0.0597014925373 	0.0 	0.0174520069808 
aggregates-combined-assembly1_4723009_1_570_+ 	0.00961538461538 	0.00651465798046 	0.0 	0.0454545454545 	0.0260303687636 	0.00657894736842 	0.0429447852761 	0.0251046025105 	0.042654028436 	0.0705882352941 	0.0333333333333 	0.0 	0.0276243093923 	0.0161290322581 	0.0157480314961 	0.047619047619 	0.0148401826484 	0.0267175572519 	0.015306122449 	0.0271739130435 	0.0487804878049 	0.0373134328358 	0.00299401197605 	0.0488656195462 
aggregates-combined-assembly1_4726413_1_588_+ 	0.0240384615385 	0.00651465798046 	0.0236686390533 	0.0121212121212 	0.0159074475777 	0.0164473684211 	0.0122699386503 	0.00836820083682 	0.0236966824645 	0.0235294117647 	0.0222222222222 	0.0165289256198 	0.0 	0.00806451612903 	0.0314960629921 	0.0238095238095 	0.0216894977169 	0.0343511450382 	0.0127551020408 	0.0271739130435 	0.0278745644599 	0.0522388059701 	0.0 	0.0418848167539 
aggregates-combined-assembly1_4732938_1_225_+ 	0.00961538461538 	0.0195439739414 	0.0236686390533 	0.0424242424242 	0.0260303687636 	0.0263157894737 	0.0122699386503 	0.00418410041841 	0.0 	0.0235294117647 	0.0 	0.0661157024793 	0.0 	0.0201612903226 	0.0236220472441 	0.0277777777778 	0.0125570776256 	0.013358778626 	0.0433673469388 	0.054347826087 	0.0 	0.0298507462687 	0.0059880239521 	0.0383944153578 
aggregates-combined-assembly1_4732959_1_228_- 	0.0 	0.0228013029316 	0.0295857988166 	0.0333333333333 	0.0289226319595 	0.0131578947368 	0.0705521472393 	0.0292887029289 	0.0521327014218 	0.0470588235294 	0.0444444444444 	0.00826446280992 	0.0331491712707 	0.00403225806452 	0.0157480314961 	0.0436507936508 	0.0148401826484 	0.0248091603053 	0.0229591836735 	0.054347826087 	0.0487804878049 	0.0671641791045 	0.0 	0.0628272251309 
aggregates-combined-assembly1_4741058_84_544_+ 	0.0480769230769 	0.0293159609121 	0.0 	0.0151515151515 	0.00795372378886 	0.0131578947368 	0.00613496932515 	0.0167364016736 	0.0 	0.0 	0.0222222222222 	0.0 	0.0 	0.0120967741935 	0.00787401574803 	0.00793650793651 	0.00684931506849 	0.0190839694656 	0.0127551020408 	0.0326086956522 	0.0 	0.0 	0.0134730538922 	0.0 
aggregates-combined-assembly1_4742409_1_321_+ 	0.0240384615385 	0.0260586319218 	0.0 	0.0121212121212 	0.0115690527838 	0.0131578947368 	0.00920245398773 	0.0209205020921 	0.0142180094787 	0.0470588235294 	0.0 	0.0 	0.0110497237569 	0.00403225806452 	0.0 	0.00396825396825 	0.00570776255708 	0.0209923664122 	0.0178571428571 	0.0271739130435 	0.0 	0.0 	0.00449101796407 	0.0104712041885 
