  Verrucomicrobia Chlamydiae stramenopiles Aquificae Actinobacteria Chlorobi Diplomonadida Lobosea Euglenozoa unclassified Cyanobacteria Lentisphaerae Rhodophyta candidate Viridiplantae Mycetozoa Thermotogales Dictyoglomi artificial ssDNA Pelobiontida Nitrospirae Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental plasmids Cryptophyta Fusobacteria Korarchaeota ssRNA Crenarchaeota Alveolata Entamoebidae Jakobidae Nanoarchaeota Bacteroidetes Rhizaria dsRNA Parabasalidea Metazoa Acanthamoebidae Thermotogae Glaucocystophyceae Fibrobacteres Euryarchaeota Spirochaetales
43 1 247 3515 48 41 1286 77 204 419 309 1 1342 144 5 3 10 204 626 18 6163 3474 21 2 1 10 1 6 3119 39 1 1 17 1 134 1 15577 3 15 0 311 83 246 2 247 5100 5 43 391 1 590 6 2 5086 81 2 
44 2 236 3457 49 45 1285 90 196 437 303 0 1349 135 6 1 10 183 607 22 6205 3496 20 2 0 5 1 4 3059 40 2 1 19 0 139 1 15744 4 12 1 285 71 275 1 240 5080 6 37 371 1 572 7 2 5096 65 0 
45 3 257 3495 35 40 1316 93 211 435 303 1 1333 129 4 2 12 189 623 25 6164 3425 18 0 1 8 0 6 3130 43 2 0 22 0 126 1 15589 6 9 0 309 85 274 1 242 5065 5 40 408 1 611 5 1 5143 69 1 
46 0 253 3519 50 43 1290 82 216 424 288 1 1360 133 4 1 7 189 630 18 6101 3499 17 3 0 11 1 4 3149 41 2 0 18 1 132 2 15550 5 11 0 308 74 293 2 247 5092 3 35 380 1 575 4 0 5119 77 1 
47 1 251 3471 46 42 1295 85 225 413 296 1 1345 122 6 3 12 212 621 25 6143 3454 21 2 1 6 0 3 3176 40 2 0 20 2 132 3 15647 6 11 1 303 76 287 3 264 5143 3 34 366 2 569 5 1 4978 67 1 
48 1 257 3529 38 46 1273 78 215 414 305 1 1378 140 4 3 10 193 617 23 6155 3479 21 1 1 9 1 6 3209 38 2 0 24 1 119 1 15571 2 13 1 310 77 287 0 259 5012 6 52 374 1 542 5 1 5091 69 0 
49 2 269 3447 36 35 1311 86 219 401 300 0 1351 140 5 1 14 195 632 25 6126 3480 23 1 1 9 0 4 3156 43 3 1 23 0 128 1 15722 5 9 0 291 76 272 1 232 5053 4 49 403 2 560 6 1 5033 76 1 
50 0 238 3490 52 42 1291 93 209 421 300 2 1296 140 3 2 12 202 654 25 6067 3412 22 1 0 7 1 2 3227 45 1 0 21 1 132 1 15680 5 10 1 292 86 292 3 260 5076 6 37 401 1 595 3 2 5015 82 1 
51 2 234 3468 40 39 1277 94 198 442 294 1 1325 142 5 3 10 186 645 24 6148 3380 25 2 0 8 1 8 3154 36 1 1 21 1 129 2 15660 6 13 0 306 72 285 2 248 5058 4 46 395 1 591 3 1 5151 79 1 
52 1 260 3504 40 41 1284 88 220 428 304 2 1372 143 6 2 11 181 594 21 6112 3473 21 1 0 12 1 6 3140 39 2 1 18 1 122 2 15599 4 9 1 292 69 295 2 248 5125 7 45 390 1 589 3 2 5065 73 2 
