  LD GT CB CE PL GH
250 3224 5879 16681 21079 49 591 
251 3365 5833 16617 21051 48 552 
252 3296 5903 16688 20908 40 591 
253 3338 5809 16798 20883 42 592 
254 3233 5824 16698 21143 50 533 
255 3297 5897 16629 21082 34 562 
256 3311 5965 16406 21064 46 564 
257 3365 5945 16648 20934 46 555 
258 3226 5890 16746 20975 36 569 
259 3298 5819 16587 21178 43 563 
260 3265 5839 16669 21080 49 582 
261 3255 5908 16614 21087 39 547 
262 3325 6051 16644 20904 48 581 
263 3321 5930 16580 20945 51 569 
264 3270 5972 16600 20947 59 533 
265 3325 5977 16684 20851 46 542 
266 3234 5902 16479 21211 42 575 
267 3271 5820 16696 21003 46 582 
268 3313 5970 16473 21153 36 557 
269 3277 5975 16477 21114 46 566 
270 3236 5993 16528 21097 48 561 
271 3281 5879 16550 21032 40 570 
272 3286 5964 16636 20984 41 543 
273 3286 5907 16626 21047 40 560 
274 3373 5880 16688 20851 40 564 
275 3269 5985 16682 20919 49 553 
276 3245 5895 16736 21032 31 572 
277 3307 5827 16717 21035 41 559 
278 3260 5885 16586 21162 43 522 
279 3238 5867 16536 21166 43 574 
280 3199 5920 16730 21072 32 552 
281 3270 5946 16643 21012 45 550 
282 3306 5983 16642 20972 47 535 
283 3347 5899 16482 21082 47 561 
284 3291 5980 16615 20973 39 580 
285 3318 5915 16590 21050 39 601 
286 3367 5922 16730 20897 40 569 
287 3359 5983 16564 20917 47 565 
288 3330 6027 16574 20922 36 580 
289 3339 5971 16804 20781 44 533 
290 3232 5850 16604 21186 50 557 
291 3335 5931 16413 21154 43 558 
292 3380 5908 16620 20946 38 535 
293 3340 6100 16420 21046 42 540 
294 3280 5919 16598 21096 40 567 
295 3294 5969 16672 20888 44 577 
296 3288 5815 16603 21033 45 601 
297 3318 5984 16654 20897 31 528 
298 3250 5933 16525 21207 46 568 
299 3211 5942 16761 20885 39 573 
300 3333 5973 16585 20943 42 564 
301 3189 5966 16563 21147 40 571 
302 3247 5881 16680 21045 48 578 
303 3350 5901 16584 21069 36 552 
304 3238 5848 16706 21053 46 515 
305 3349 5926 16578 21083 41 529 
306 3400 5800 16581 21049 35 553 
307 3194 5825 16662 21150 47 593 
308 3201 6011 16611 21041 36 571 
309 3213 5959 16600 21054 42 563 
310 3314 5932 16648 20983 31 590 
311 3280 5950 16649 21013 37 573 
312 3236 5919 16727 20962 53 571 
313 3305 5984 16584 20990 48 542 
314 3329 5857 16590 21165 40 538 
315 3304 5877 16532 21099 45 574 
316 3316 5924 16551 21057 46 538 
317 3290 5853 16622 21080 40 565 
318 3347 5929 16666 20950 35 519 
319 3289 5988 16591 21048 52 545 
320 3338 5944 16432 21153 35 535 
321 3332 5992 16663 20925 50 561 
322 3273 5876 16698 21029 32 552 
323 3389 5795 16674 21015 48 570 
324 3337 5930 16492 21117 43 576 
325 3294 5967 16567 21026 40 571 
326 3276 6076 16538 20959 30 596 
327 3350 5910 16648 21000 39 533 
328 3252 5998 16467 21125 38 570 
329 3337 5849 16748 20961 36 561 
330 3276 5958 16673 21082 41 532 
331 3411 5906 16610 20909 36 544 
332 3388 5861 16511 21086 34 562 
333 3315 5953 16532 21045 46 597 
334 3288 6034 16691 20880 43 569 
335 3260 5978 16534 21075 41 547 
336 3328 6067 16539 21043 35 540 
337 3287 5880 16407 21239 39 539 
338 3291 5868 16433 21339 36 539 
339 3318 5924 16491 21043 39 550 
340 3258 5972 16590 21038 37 517 
341 3252 6000 16654 20963 46 570 
342 3320 5924 16625 20925 41 577 
343 3238 5877 16517 21196 47 568 
344 3264 5894 16627 21139 46 553 
345 3298 5927 16744 20952 41 547 
346 3325 5946 16584 21059 37 542 
347 3271 5862 16763 20999 47 564 
348 3230 5871 16734 20996 34 581 
349 3353 5863 16498 21103 57 554 
350 3156 5992 16536 21124 43 582 
351 3301 6001 16682 20904 38 574 
352 3221 5876 16722 21085 43 547 
353 3335 6078 16528 20947 41 552 
354 3312 5933 16606 21028 39 565 
355 3273 5861 16677 21052 42 578 
356 3305 5900 16685 20939 40 543 
357 3354 5872 16562 21043 37 542 
358 3267 5996 16635 20949 48 562 
359 3177 5920 16875 20892 47 544 
360 3265 6003 16622 20981 46 533 
361 3298 5904 16619 20999 43 569 
362 3320 5953 16562 20981 43 555 
363 3358 5934 16662 20959 40 553 
364 3200 5874 16780 21038 43 540 
365 3301 5986 16570 20964 44 578 
366 3333 5944 16629 20960 45 537 
367 3350 5866 16834 20754 33 576 
368 3295 6002 16559 21049 47 551 
369 3324 5958 16559 20991 32 587 
370 3218 5986 16667 21011 40 572 
371 3312 5824 16512 21163 39 548 
372 3367 5940 16493 21132 43 549 
373 3310 5988 16734 20905 45 570 
374 3304 6000 16648 20909 34 586 
375 3298 5941 16677 21018 52 552 
376 3256 5912 16648 21102 49 546 
377 3265 5952 16634 20959 39 566 
378 3342 5869 16617 21081 34 582 
379 3229 6020 16547 21057 34 528 
380 3301 5986 16557 21006 48 532 
381 3208 6026 16576 21003 41 553 
382 3338 5924 16617 20975 34 566 
383 3262 5981 16615 21144 38 567 
384 3270 5864 16725 21006 37 552 
385 3236 5867 16639 21116 41 567 
386 3328 5910 16662 21006 28 538 
387 3301 5977 16752 20878 31 567 
388 3347 5935 16483 21085 50 584 
389 3226 5945 16647 21097 36 586 
390 3230 6045 16523 21113 36 547 
391 3362 5816 16771 20907 45 544 
392 3291 6025 16550 20997 40 557 
393 3182 5857 16662 21122 46 557 
394 3306 5954 16637 20905 46 590 
395 3249 5887 16661 21028 35 558 
396 3268 5948 16568 21053 40 557 
397 3294 5873 16639 21040 51 542 
398 3356 5905 16613 21018 42 552 
399 3322 5883 16602 21076 41 560 
400 3258 5950 16631 21084 43 540 
401 3388 5878 16490 21084 38 551 
402 3247 5910 16682 20978 42 559 
403 3285 6055 16445 21053 44 564 
404 3310 5947 16661 20965 52 557 
405 3240 6091 16613 20909 45 556 
406 3276 5941 16619 20961 45 556 
407 3308 5895 16636 21101 41 546 
408 3270 5987 16737 20950 35 547 
409 3265 5883 16646 21020 40 554 
410 3253 6075 16551 20957 51 550 
411 3340 5884 16596 21009 44 567 
412 3353 5900 16613 20978 50 581 
413 3332 5885 16527 21113 44 559 
414 3262 5967 16614 21077 38 573 
415 3326 5732 16722 21147 48 580 
416 3291 5810 16630 21144 50 559 
417 3330 5887 16536 21200 40 568 
418 3390 5861 16539 21061 45 594 
419 3264 6009 16641 20968 43 551 
420 3347 5955 16727 20928 41 541 
421 3379 5905 16833 20832 42 530 
422 3374 5974 16555 20922 42 569 
423 3277 5995 16515 21043 46 533 
424 3336 5842 16564 21163 42 554 
425 3284 6024 16576 20934 42 579 
426 3247 5852 16611 21097 47 569 
427 3272 5873 16860 20931 52 557 
428 3311 5908 16462 21247 38 540 
429 3343 6010 16559 20976 43 560 
430 3336 5889 16593 20996 43 554 
431 3279 5874 16678 21031 42 600 
432 3343 5906 16664 20996 40 550 
433 3233 5947 16699 20869 34 628 
434 3383 6034 16702 20719 43 596 
435 3248 5986 16606 21019 37 579 
436 3286 5945 16727 20888 52 540 
437 3274 6001 16445 21025 37 571 
438 3337 5954 16615 21005 42 539 
439 3328 6007 16521 21011 39 548 
440 3310 5927 16569 21027 40 590 
441 3225 6034 16585 21023 43 537 
442 3421 5876 16634 20911 39 582 
443 3355 5989 16554 21049 40 536 
444 3259 5897 16549 21170 43 528 
445 3295 5960 16668 20992 43 551 
446 3290 5928 16574 21135 44 556 
447 3284 5913 16603 20984 32 610 
448 3274 5989 16677 20902 41 559 
449 3313 5901 16722 20940 42 553 
450 3360 5868 16529 21125 52 560 
451 3345 5945 16649 20933 41 581 
452 3394 5991 16597 20888 44 543 
453 3237 5932 16670 21028 45 572 
454 3299 5996 16519 21050 34 574 
455 3362 5986 16637 20846 42 596 
456 3263 5857 16686 21014 30 560 
457 3249 5944 16528 21168 41 549 
458 3368 5946 16752 20790 39 537 
459 3320 5875 16516 21065 28 594 
460 3358 5989 16644 20874 44 546 
461 3260 5872 16647 21139 38 561 
462 3286 5872 16637 21148 34 530 
463 3291 5970 16667 20937 44 548 
464 3334 5856 16659 20991 43 563 
465 3320 5886 16684 20989 56 518 
466 3369 5871 16790 20818 37 560 
467 3319 5990 16613 20954 43 551 
468 3279 5970 16512 21083 54 583 
469 3329 5981 16575 20957 35 553 
470 3358 5856 16655 21010 39 549 
471 3305 6000 16635 20882 45 561 
472 3251 5957 16584 21040 39 580 
473 3289 5976 16562 20910 41 622 
474 3251 5885 16438 21231 37 589 
475 3194 6064 16670 21002 53 539 
476 3288 5882 16550 21211 38 534 
477 3255 5878 16637 21063 32 557 
