  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
70 5301 5578 89 61 4940 30 518 1772 408 3017 360 3 4 3 1113 7 3478 1680 13 0 10 1 525 61 0 1069 0 15918 0 114 17 310 1463 1088 94 56 563 0 
71 5213 5569 121 54 4875 31 533 1829 413 3060 372 1 1 4 1090 2 3440 1590 14 1 10 4 511 68 1 1061 0 15971 0 132 18 282 1539 1121 105 65 582 0 
72 5265 5709 104 50 4872 28 500 1781 406 2995 362 4 4 2 1090 4 3396 1607 15 0 14 3 525 70 1 1059 1 16001 0 111 12 284 1545 1094 108 67 599 0 
73 5231 5650 112 51 4822 35 491 1864 417 3091 357 8 1 4 1125 5 3433 1632 16 1 6 3 527 62 1 1005 0 15930 0 115 13 260 1555 1090 90 59 613 0 
74 5261 5651 106 54 4893 26 530 1711 416 3044 377 4 2 4 1154 7 3393 1582 23 0 12 0 508 64 0 1030 0 16093 0 111 20 293 1488 1084 106 63 530 0 
75 5182 5505 117 49 4885 36 508 1841 400 3086 364 3 3 1 1112 4 3414 1661 14 0 10 4 520 72 0 1059 1 16102 0 132 15 260 1556 1029 78 64 586 0 
76 5175 5598 101 50 4938 22 505 1868 414 3049 372 4 1 6 1058 4 3408 1616 15 1 13 3 504 48 0 1061 0 16089 0 119 11 279 1524 1105 95 65 569 0 
77 5178 5552 118 55 4978 33 528 1847 427 3072 388 5 3 4 1110 5 3346 1620 10 0 13 1 538 64 1 1106 0 15966 0 99 17 282 1541 1047 85 69 562 1 
78 5254 5588 92 59 4994 37 507 1794 406 3074 380 3 2 0 1097 5 3411 1677 11 0 7 2 552 67 0 1005 0 15888 0 112 15 295 1538 1056 92 66 621 0 
79 5339 5621 103 52 4858 34 530 1763 406 3129 335 2 1 2 1105 5 3501 1593 15 1 17 1 528 63 1 1019 1 15847 0 118 16 297 1550 1078 95 71 589 1 
80 5191 5590 119 55 4871 17 551 1834 381 3068 420 5 1 4 1082 4 3455 1619 14 0 11 2 556 61 1 1031 0 16022 0 108 16 300 1553 1073 83 59 551 0 
81 5155 5658 123 61 4957 32 488 1763 392 3055 404 2 1 3 1063 4 3411 1673 23 0 12 3 525 57 0 996 0 16001 0 136 22 284 1484 1106 91 67 625 1 
