  LD GT CB CE LO PL GH
284 3133 3126 22479 20074 1 1 597 
285 3103 3246 22366 20166 0 1 582 
286 3051 3247 22390 20134 0 1 618 
287 3050 3275 22300 20251 1 1 573 
288 3082 3284 22347 20134 0 1 616 
289 3128 3222 22381 20130 0 0 584 
290 3119 3186 22426 20084 2 0 613 
291 3146 3190 22394 20139 2 0 577 
292 3091 3185 22352 20169 1 1 616 
293 3121 3265 22314 20144 1 1 602 
294 3136 3309 22300 20057 0 0 621 
295 3071 3272 22316 20185 0 1 598 
296 3016 3247 22412 20129 2 1 579 
297 3154 3286 22264 20122 2 1 598 
298 3152 3251 22399 20055 2 0 570 
299 3122 3256 22250 20214 1 1 606 
300 3172 3180 22387 20101 1 1 589 
301 3120 3303 22344 20067 2 0 600 
302 3127 3189 22368 20117 2 1 616 
303 3132 3301 22372 20039 1 0 609 
304 3150 3207 22334 20126 2 1 607 
305 3083 3298 22461 20009 2 1 584 
306 3120 3298 22465 19951 1 1 588 
307 3113 3186 22389 20134 2 0 626 
308 3119 3177 22350 20169 1 0 609 
309 3103 3268 22259 20227 2 0 571 
310 3097 3231 22423 20103 1 1 597 
311 3095 3273 22423 20030 1 1 605 
312 3162 3269 22342 20047 1 1 607 
313 3105 3242 22419 20061 2 0 592 
314 3028 3289 22510 20024 2 1 566 
315 3144 3241 22310 20163 1 1 582 
316 3128 3292 22550 19849 1 0 621 
317 3067 3305 22484 19968 1 1 611 
318 3122 3263 22258 20203 1 1 598 
319 3135 3244 22252 20181 2 1 588 
320 3154 3175 22365 20163 0 1 581 
321 3072 3292 22382 20064 2 0 610 
322 3099 3257 22403 20066 1 1 596 
323 3107 3286 22270 20159 2 1 614 
324 3043 3253 22403 20136 0 0 599 
325 3148 3203 22230 20273 1 0 569 
326 3084 3258 22375 20135 0 0 583 
327 3026 3201 22377 20202 0 0 598 
328 3163 3248 22201 20184 2 1 626 
329 3171 3177 22319 20123 1 1 612 
330 3125 3211 22421 20116 1 1 576 
331 3082 3226 22319 20250 1 0 591 
332 3040 3253 22336 20191 1 0 614 
333 3116 3317 22367 20013 2 0 618 
334 3111 3264 22367 20086 0 1 605 
335 3130 3232 22354 20140 1 0 577 
336 3111 3292 22300 20108 2 0 627 
337 3105 3300 22414 19995 1 1 617 
338 3055 3198 22352 20224 0 0 600 
339 3100 3215 22385 20097 1 1 615 
340 3067 3211 22395 20139 1 1 600 
341 3129 3298 22286 20093 2 1 615 
342 3129 3210 22236 20248 0 0 586 
343 3159 3186 22335 20142 1 0 615 
344 3064 3241 22404 20116 2 0 620 
345 3039 3208 22516 20088 0 0 606 
346 3067 3298 22443 20048 0 0 591 
347 3069 3232 22457 20115 0 0 596 
348 3062 3268 22335 20173 0 0 621 
349 3152 3190 22399 20051 2 1 615 
350 3133 3271 22230 20170 1 0 613 
351 3078 3298 22248 20214 2 0 577 
352 3210 3203 22338 20083 2 0 573 
353 3053 3268 22319 20195 1 1 591 
354 3112 3254 22442 20034 2 1 593 
355 3079 3283 22352 20176 0 0 585 
356 3136 3287 22203 20190 1 0 607 
357 3098 3242 22281 20208 0 1 587 
358 3076 3297 22282 20179 2 0 601 
359 3111 3240 22300 20182 0 1 599 
360 3112 3272 22445 19967 2 1 626 
361 3119 3215 22344 20168 0 0 603 
362 3027 3229 22409 20188 2 1 573 
363 3091 3235 22429 20082 1 1 605 
364 3100 3315 22348 20107 1 0 590 
365 3209 3269 22301 20086 2 1 565 
366 3071 3169 22341 20238 0 1 607 
367 3091 3251 22403 20074 0 1 595 
368 3141 3235 22326 20098 1 0 613 
369 3120 3225 22245 20235 2 1 605 
370 3143 3284 22233 20133 2 0 628 
371 3060 3217 22439 20132 2 0 593 
372 3102 3305 22308 20117 1 0 608 
373 3138 3195 22406 20095 1 1 588 
374 3107 3200 22287 20225 2 0 614 
375 3094 3229 22469 20047 2 1 609 
376 3038 3285 22390 20138 1 0 586 
377 3122 3181 22289 20265 2 0 595 
378 3097 3265 22281 20165 1 1 598 
379 3132 3277 22268 20154 0 0 587 
380 3093 3271 22242 20233 2 1 606 
381 3111 3300 22301 20090 0 1 623 
382 3165 3250 22273 20141 0 0 614 
383 3052 3231 22392 20145 0 1 599 
384 3119 3255 22337 20126 2 1 593 
385 3075 3337 22306 20127 1 1 582 
386 3146 3256 22348 20086 2 0 589 
387 3084 3213 22246 20279 1 1 594 
388 3050 3160 22423 20177 2 0 599 
389 3109 3221 22454 20041 1 0 588 
390 3159 3233 22307 20123 2 1 590 
391 3120 3190 22466 20064 1 1 610 
392 3165 3267 22379 20005 1 0 603 
393 3167 3280 22312 20108 0 0 593 
394 3083 3261 22305 20178 0 0 611 
395 3130 3334 22231 20112 0 0 614 
396 3046 3246 22298 20263 2 0 583 
397 3079 3294 22360 20091 1 1 616 
398 3058 3226 22312 20229 1 0 598 
399 3132 3217 22333 20128 0 0 629 
400 3132 3300 22221 20166 1 1 585 
401 3086 3283 22315 20139 1 0 614 
402 3093 3275 22330 20141 1 1 594 
403 3088 3226 22399 20102 1 0 609 
404 3073 3247 22446 20057 1 0 602 
405 3076 3250 22365 20108 1 0 617 
406 3101 3261 22345 20099 1 0 617 
407 3125 3263 22417 20022 1 1 595 
408 3099 3306 22198 20215 0 1 604 
409 3122 3202 22442 20084 1 1 586 
410 3100 3261 22371 20137 2 1 554 
411 3049 3211 22398 20158 1 1 602 
412 3106 3249 22346 20093 1 0 609 
413 3156 3251 22384 20050 1 1 607 
414 3094 3257 22243 20241 2 1 580 
415 3110 3289 22354 20099 1 0 593 
416 3103 3248 22281 20180 0 0 607 
417 3145 3297 22274 20108 2 1 601 
418 3073 3201 22429 20110 1 0 616 
419 3084 3285 22396 20073 1 0 597 
420 3099 3215 22347 20170 0 0 617 
421 3150 3256 22251 20200 1 0 596 
422 3065 3274 22494 19988 2 1 635 
423 3132 3264 22270 20184 2 0 579 
424 3061 3258 22310 20230 2 0 584 
425 3122 3271 22470 19943 2 0 608 
426 3096 3245 22345 20150 1 0 588 
427 3144 3199 22296 20180 2 0 590 
428 3123 3276 22373 20049 1 0 611 
429 3050 3280 22273 20211 1 0 587 
430 3111 3270 22318 20093 0 1 627 
431 3108 3231 22398 20094 2 1 594 
432 3131 3216 22426 20062 1 0 590 
433 3068 3251 22459 20054 2 0 589 
434 3056 3217 22297 20260 0 0 576 
435 3118 3252 22344 20137 0 0 567 
436 3071 3242 22474 20068 1 1 563 
437 3091 3265 22233 20235 1 1 582 
438 3102 3202 22401 20103 2 0 596 
439 3079 3222 22369 20113 1 0 621 
440 3075 3189 22354 20196 0 1 620 
441 3074 3290 22388 20088 1 1 590 
442 3122 3291 22332 20083 1 1 615 
443 3132 3230 22269 20205 1 1 593 
444 3155 3225 22248 20176 1 0 617 
445 3156 3230 22288 20180 2 0 592 
446 3129 3305 22221 20173 0 0 589 
447 3117 3245 22311 20162 1 0 576 
448 3095 3326 22244 20144 1 0 607 
449 3045 3277 22398 20147 0 1 589 
450 3117 3236 22319 20167 0 1 565 
451 3124 3290 22271 20146 0 0 594 
452 3127 3254 22322 20094 0 0 624 
453 3108 3239 22352 20126 1 0 601 
454 3091 3278 22315 20131 1 1 595 
455 3091 3216 22293 20245 2 1 594 
456 3111 3252 22341 20157 0 1 588 
457 3108 3289 22357 20069 1 0 612 
458 3105 3320 22255 20110 1 1 612 
459 3057 3322 22278 20165 1 0 595 
460 3147 3239 22329 20117 2 0 592 
